counts_1_2,counts_2_3,counts_1_3,timestamp
20, 20, 26, Mon Nov 21 17:34:58 2022
23, 24, 22, Mon Nov 21 17:35:58 2022
29, 34, 32, Mon Nov 21 17:36:58 2022
16, 18, 19, Mon Nov 21 17:37:58 2022
21, 21, 23, Mon Nov 21 17:38:58 2022
24, 23, 22, Mon Nov 21 17:39:58 2022
29, 30, 24, Mon Nov 21 17:40:58 2022
21, 22, 21, Mon Nov 21 17:41:58 2022
13, 16, 13, Mon Nov 21 17:42:58 2022
21, 22, 23, Mon Nov 21 17:43:58 2022
34, 29, 31, Mon Nov 21 17:44:58 2022
16, 15, 11, Mon Nov 21 17:45:58 2022
26, 21, 29, Mon Nov 21 17:46:58 2022
17, 18, 17, Mon Nov 21 17:47:58 2022
14, 12, 13, Mon Nov 21 17:48:58 2022
24, 21, 26, Mon Nov 21 17:49:58 2022
15, 18, 17, Mon Nov 21 17:50:58 2022
21, 26, 25, Mon Nov 21 17:51:58 2022
19, 23, 23, Mon Nov 21 17:52:58 2022
21, 23, 23, Mon Nov 21 17:53:58 2022
19, 16, 15, Mon Nov 21 17:54:58 2022
30, 35, 31, Mon Nov 21 17:55:58 2022
25, 22, 23, Mon Nov 21 17:56:58 2022
13, 15, 13, Mon Nov 21 17:57:58 2022
20, 15, 14, Mon Nov 21 17:58:58 2022
17, 19, 26, Mon Nov 21 17:59:58 2022
15, 14, 16, Mon Nov 21 18:00:58 2022
9, 12, 10, Mon Nov 21 18:01:58 20222
29, 32, 28, Mon Nov 21 18:02:58 2022
17, 18, 21, Mon Nov 21 18:03:58 2022
20, 24, 23, Mon Nov 21 18:04:58 2022
19, 19, 22, Mon Nov 21 18:05:58 2022
19, 20, 20, Mon Nov 21 18:06:58 2022
28, 24, 29, Mon Nov 21 18:07:58 2022
31, 29, 32, Mon Nov 21 18:08:58 2022
18, 20, 16, Mon Nov 21 18:09:58 2022
17, 22, 16, Mon Nov 21 18:10:58 2022
15, 15, 18, Mon Nov 21 18:11:58 2022
24, 20, 20, Mon Nov 21 18:12:58 2022
29, 27, 25, Mon Nov 21 18:13:58 2022
18, 21, 21, Mon Nov 21 18:14:58 2022
15, 17, 16, Mon Nov 21 18:15:58 2022
28, 29, 30, Mon Nov 21 18:16:58 2022
26, 34, 27, Mon Nov 21 18:17:58 2022
26, 23, 22, Mon Nov 21 18:18:58 2022
25, 24, 28, Mon Nov 21 18:19:58 2022
18, 23, 22, Mon Nov 21 18:20:58 2022
15, 18, 21, Mon Nov 21 18:21:58 2022
20, 22, 27, Mon Nov 21 18:22:58 2022
29, 29, 24, Mon Nov 21 18:23:58 2022
16, 17, 19, Mon Nov 21 18:24:58 2022
28, 31, 31, Mon Nov 21 18:25:58 2022
21, 24, 23, Mon Nov 21 18:26:58 2022
28, 35, 30, Mon Nov 21 18:27:58 2022
17, 21, 21, Mon Nov 21 18:28:58 2022
22, 22, 21, Mon Nov 21 18:29:58 2022
23, 23, 25, Mon Nov 21 18:30:58 2022
21, 21, 20, Mon Nov 21 18:31:58 2022
31, 30, 27, Mon Nov 21 18:32:58 2022
16, 19, 18, Mon Nov 21 18:33:58 2022
20, 23, 22, Mon Nov 21 18:34:58 2022
17, 23, 23, Mon Nov 21 18:35:58 2022
21, 19, 18, Mon Nov 21 18:36:58 2022
25, 23, 20, Mon Nov 21 18:37:58 2022
28, 27, 27, Mon Nov 21 18:38:58 2022
23, 22, 22, Mon Nov 21 18:39:58 2022
23, 26, 27, Mon Nov 21 18:40:58 2022
39, 38, 41, Mon Nov 21 18:41:58 2022
20, 23, 13, Mon Nov 21 18:42:58 2022
22, 21, 18, Mon Nov 21 18:43:58 2022
21, 20, 23, Mon Nov 21 18:44:58 2022
25, 27, 27, Mon Nov 21 18:45:58 2022
22, 21, 18, Mon Nov 21 18:46:58 2022
19, 26, 24, Mon Nov 21 18:47:58 2022
22, 21, 22, Mon Nov 21 18:48:58 2022
20, 20, 19, Mon Nov 21 18:49:58 2022
20, 21, 30, Mon Nov 21 18:50:58 2022
23, 20, 25, Mon Nov 21 18:51:58 2022
20, 29, 25, Mon Nov 21 18:52:58 2022
24, 22, 22, Mon Nov 21 18:53:58 2022
24, 27, 20, Mon Nov 21 18:54:58 2022
20, 23, 22, Mon Nov 21 18:55:58 2022
15, 17, 17, Mon Nov 21 18:56:58 2022
16, 19, 17, Mon Nov 21 18:57:58 2022
25, 24, 25, Mon Nov 21 18:58:58 2022
26, 25, 22, Mon Nov 21 18:59:58 2022
19, 25, 23, Mon Nov 21 19:00:58 2022
20, 17, 24, Mon Nov 21 19:01:58 2022
23, 19, 24, Mon Nov 21 19:02:58 2022
31, 24, 29, Mon Nov 21 19:03:58 2022
13, 18, 15, Mon Nov 21 19:04:58 2022
17, 19, 24, Mon Nov 21 19:05:58 2022
23, 21, 19, Mon Nov 21 19:06:58 2022
15, 16, 13, Mon Nov 21 19:07:58 2022
20, 22, 20, Mon Nov 21 19:08:58 2022
28, 28, 30, Mon Nov 21 19:09:58 2022
21, 23, 25, Mon Nov 21 19:10:58 2022
15, 17, 20, Mon Nov 21 19:11:58 2022
18, 24, 22, Mon Nov 21 19:12:58 2022
23, 30, 27, Mon Nov 21 19:13:58 2022
25, 29, 23, Mon Nov 21 19:14:58 2022
19, 24, 21, Mon Nov 21 19:15:58 2022
22, 27, 27, Mon Nov 21 19:16:58 2022
14, 17, 17, Mon Nov 21 19:17:58 2022
22, 26, 22, Mon Nov 21 19:18:58 2022
19, 23, 18, Mon Nov 21 19:19:58 2022
32, 29, 29, Mon Nov 21 19:20:58 2022
19, 21, 24, Mon Nov 21 19:21:58 2022
25, 23, 23, Mon Nov 21 19:22:58 2022
24, 22, 26, Mon Nov 21 19:23:58 2022
25, 27, 28, Mon Nov 21 19:24:58 2022
16, 21, 19, Mon Nov 21 19:25:58 2022
13, 19, 22, Mon Nov 21 19:26:58 2022
26, 27, 29, Mon Nov 21 19:27:58 2022
25, 26, 24, Mon Nov 21 19:28:58 2022
22, 22, 23, Mon Nov 21 19:29:58 2022
21, 21, 22, Mon Nov 21 19:30:58 2022
22, 24, 23, Mon Nov 21 19:31:58 2022
28, 30, 26, Mon Nov 21 19:32:58 2022
21, 22, 21, Mon Nov 21 19:33:58 2022
26, 26, 22, Mon Nov 21 19:34:58 2022
23, 32, 29, Mon Nov 21 19:35:58 2022
23, 23, 25, Mon Nov 21 19:36:58 2022
22, 28, 25, Mon Nov 21 19:37:58 2022
32, 29, 28, Mon Nov 21 19:38:58 2022
20, 24, 26, Mon Nov 21 19:39:58 2022
15, 11, 18, Mon Nov 21 19:40:58 2022
17, 23, 20, Mon Nov 21 19:41:58 2022
25, 23, 22, Mon Nov 21 19:42:58 2022
26, 26, 24, Mon Nov 21 19:43:58 2022
23, 21, 25, Mon Nov 21 19:44:58 2022
23, 23, 24, Mon Nov 21 19:45:58 2022
23, 21, 19, Mon Nov 21 19:46:58 2022
20, 21, 19, Mon Nov 21 19:47:58 2022
15, 18, 16, Mon Nov 21 19:48:58 2022
24, 31, 25, Mon Nov 21 19:49:58 2022
27, 24, 24, Mon Nov 21 19:50:58 2022
20, 24, 18, Mon Nov 21 19:51:58 2022
19, 19, 17, Mon Nov 21 19:52:58 2022
31, 34, 35, Mon Nov 21 19:53:58 2022
15, 23, 18, Mon Nov 21 19:54:58 2022
33, 34, 38, Mon Nov 21 19:55:58 2022
23, 27, 30, Mon Nov 21 19:56:58 2022
20, 24, 26, Mon Nov 21 19:57:58 2022
17, 20, 16, Mon Nov 21 19:58:58 2022
24, 24, 25, Mon Nov 21 19:59:58 2022
22, 23, 22, Mon Nov 21 20:00:58 2022
17, 17, 15, Mon Nov 21 20:01:58 2022
27, 24, 26, Mon Nov 21 20:02:58 2022
21, 23, 19, Mon Nov 21 20:03:58 2022
23, 17, 22, Mon Nov 21 20:04:58 2022
23, 22, 17, Mon Nov 21 20:05:58 2022
17, 21, 22, Mon Nov 21 20:06:58 2022
20, 17, 20, Mon Nov 21 20:07:58 2022
27, 22, 24, Mon Nov 21 20:08:58 2022
14, 17, 12, Mon Nov 21 20:09:58 2022
18, 22, 21, Mon Nov 21 20:10:58 2022
25, 19, 22, Mon Nov 21 20:11:58 2022
24, 27, 22, Mon Nov 21 20:12:58 2022
21, 26, 28, Mon Nov 21 20:13:58 2022
27, 33, 30, Mon Nov 21 20:14:58 2022
19, 25, 22, Mon Nov 21 20:15:58 2022
28, 29, 29, Mon Nov 21 20:16:58 2022
20, 23, 25, Mon Nov 21 20:17:58 2022
19, 26, 26, Mon Nov 21 20:18:58 2022
16, 21, 22, Mon Nov 21 20:19:58 2022
25, 18, 21, Mon Nov 21 20:20:58 2022
22, 20, 22, Mon Nov 21 20:21:58 2022
19, 25, 21, Mon Nov 21 20:22:58 2022
19, 23, 26, Mon Nov 21 20:23:58 2022
22, 21, 20, Mon Nov 21 20:24:58 2022
23, 27, 27, Mon Nov 21 20:25:58 2022
18, 15, 17, Mon Nov 21 20:26:58 2022
20, 24, 19, Mon Nov 21 20:27:58 2022
19, 21, 18, Mon Nov 21 20:28:58 2022
25, 23, 29, Mon Nov 21 20:29:58 2022
22, 27, 22, Mon Nov 21 20:30:58 2022
13, 19, 18, Mon Nov 21 20:31:58 2022
10, 10, 14, Mon Nov 21 20:32:58 2022
24, 25, 25, Mon Nov 21 20:33:58 2022
22, 20, 28, Mon Nov 21 20:34:58 2022
24, 22, 24, Mon Nov 21 20:35:58 2022
18, 12, 16, Mon Nov 21 20:36:58 2022
15, 18, 19, Mon Nov 21 20:37:58 2022
22, 19, 24, Mon Nov 21 20:38:58 2022
28, 26, 27, Mon Nov 21 20:39:58 2022
21, 27, 26, Mon Nov 21 20:40:58 2022
22, 33, 22, Mon Nov 21 20:41:58 2022
25, 21, 23, Mon Nov 21 20:42:58 2022
18, 18, 20, Mon Nov 21 20:43:58 2022
17, 23, 22, Mon Nov 21 20:44:58 2022
29, 30, 27, Mon Nov 21 20:45:58 2022
24, 28, 26, Mon Nov 21 20:46:58 2022
20, 19, 24, Mon Nov 21 20:47:58 2022
20, 20, 25, Mon Nov 21 20:48:58 2022
25, 18, 20, Mon Nov 21 20:49:58 2022
20, 24, 20, Mon Nov 21 20:50:58 2022
26, 29, 25, Mon Nov 21 20:51:58 2022
11, 15, 18, Mon Nov 21 20:52:58 2022
17, 20, 22, Mon Nov 21 20:53:58 2022
22, 25, 23, Mon Nov 21 20:54:58 2022
23, 24, 22, Mon Nov 21 20:55:58 2022
22, 19, 23, Mon Nov 21 20:56:58 2022
21, 21, 21, Mon Nov 21 20:57:58 2022
21, 19, 21, Mon Nov 21 20:58:58 2022
22, 26, 27, Mon Nov 21 20:59:58 2022
16, 18, 16, Mon Nov 21 21:00:58 2022
18, 21, 20, Mon Nov 21 21:01:58 2022
22, 19, 19, Mon Nov 21 21:02:58 2022
18, 18, 17, Mon Nov 21 21:03:58 2022
23, 22, 24, Mon Nov 21 21:04:58 2022
27, 26, 23, Mon Nov 21 21:05:58 2022
22, 24, 27, Mon Nov 21 21:06:58 2022
22, 27, 26, Mon Nov 21 21:07:58 2022
26, 33, 27, Mon Nov 21 21:08:58 2022
28, 32, 27, Mon Nov 21 21:09:58 2022
23, 28, 28, Mon Nov 21 21:10:58 2022
