counts_1_3,counts_2_3,counts_1_2,timestamp
13, 12, 12, Fri Jan 20 02:05:53 2023
14, 10, 15, Fri Jan 20 02:06:53 2023
14, 10, 13, Fri Jan 20 02:07:53 2023
14, 16, 18, Fri Jan 20 02:08:53 2023
19, 14, 18, Fri Jan 20 02:09:53 2023
22, 15, 17, Fri Jan 20 02:10:53 2023
18, 9, 12, Fri Jan 20 02:13:53 2023
8, 5, 7, Fri Jan 20 02:14:53 2023
14, 9, 14, Fri Jan 20 02:15:53 2023
13, 14, 15, Fri Jan 20 02:16:53 2023
14, 11, 12, Fri Jan 20 02:17:53 2023
6, 13, 14, Fri Jan 20 02:18:53 2023
14, 17, 14, Fri Jan 20 02:19:53 2023
14, 16, 23, Fri Jan 20 02:20:53 2023
14, 8, 11, Fri Jan 20 02:21:53 2023
14, 12, 17, Fri Jan 20 02:22:53 2023
16, 13, 17, Fri Jan 20 02:23:53 2023
12, 10, 14, Fri Jan 20 02:24:53 2023
12, 10, 18, Fri Jan 20 02:25:53 2023
13, 8, 8, Fri Jan 20 02:26:53 2023
17, 16, 18, Fri Jan 20 02:27:53 2023
13, 12, 15, Fri Jan 20 02:28:53 2023
20, 15, 13, Fri Jan 20 02:29:53 2023
15, 15, 16, Fri Jan 20 02:30:53 2023
15, 8, 12, Fri Jan 20 02:31:53 2023
15, 10, 13, Fri Jan 20 02:32:53 2023
15, 13, 16, Fri Jan 20 02:33:53 2023
15, 7, 11, Fri Jan 20 02:34:53 2023
13, 10, 17, Fri Jan 20 02:35:53 2023
16, 15, 19, Fri Jan 20 02:36:53 2023
9, 10, 9, Fri Jan 20 02:37:53 2023
13, 14, 14, Fri Jan 20 02:38:53 2023
13, 12, 11, Fri Jan 20 02:39:53 2023
15, 11, 13, Fri Jan 20 02:40:53 2023
19, 15, 15, Fri Jan 20 02:41:53 2023
14, 9, 20, Fri Jan 20 02:42:53 2023
18, 19, 19, Fri Jan 20 02:45:53 2023
15, 18, 15, Fri Jan 20 02:46:53 2023
18, 17, 18, Fri Jan 20 02:47:53 2023
15, 12, 11, Fri Jan 20 02:48:53 2023
20, 11, 13, Fri Jan 20 02:49:53 2023
13, 11, 16, Fri Jan 20 02:50:53 2023
26, 15, 21, Fri Jan 20 02:51:53 2023
16, 9, 15, Fri Jan 20 02:52:53 2023
21, 12, 11, Fri Jan 20 02:53:53 2023
22, 23, 23, Fri Jan 20 02:54:53 2023
23, 18, 22, Fri Jan 20 02:55:53 2023
16, 16, 16, Fri Jan 20 02:56:53 2023
19, 14, 21, Fri Jan 20 02:57:53 2023
16, 17, 16, Fri Jan 20 02:58:53 2023
14, 17, 14, Fri Jan 20 02:59:53 2023
10, 10, 14, Fri Jan 20 03:00:53 2023
17, 10, 9, Fri Jan 20 03:01:53 2023
15, 10, 11, Fri Jan 20 03:02:53 2023
11, 15, 19, Fri Jan 20 03:03:53 2023
15, 13, 18, Fri Jan 20 03:04:53 2023
13, 11, 16, Fri Jan 20 03:05:53 2023
17, 10, 12, Fri Jan 20 03:06:53 2023
