Chan_0_1,Chan_0_2,Chan_1_2,timestamp
37, 32, 45, Wed Jun 28 12:14:18 2023
48, 37, 49, Wed Jun 28 12:15:18 2023
50, 36, 45, Wed Jun 28 12:16:18 2023
50, 35, 41, Wed Jun 28 12:17:18 2023
56, 48, 56, Wed Jun 28 12:18:18 2023
31, 22, 30, Wed Jun 28 12:19:18 2023
58, 39, 47, Wed Jun 28 12:20:18 2023
57, 37, 51, Wed Jun 28 12:21:18 2023
74, 52, 69, Wed Jun 28 12:22:18 2023
83, 56, 71, Wed Jun 28 12:23:18 2023
128, 96, 119, Wed Jun 28 12:24:18 2023
138, 103, 128, Wed Jun 28 12:25:18 2023
166, 122, 141, Wed Jun 28 12:26:18 2023
197, 141, 175, Wed Jun 28 12:27:18 2023
231, 163, 208, Wed Jun 28 12:28:18 2023
303, 222, 265, Wed Jun 28 12:29:18 2023
337, 235, 298, Wed Jun 28 12:30:18 2023
415, 286, 373, Wed Jun 28 12:31:18 2023
526, 378, 472, Wed Jun 28 12:32:18 2023
555, 410, 518, Wed Jun 28 12:33:18 2023
656, 447, 604, Wed Jun 28 12:34:18 2023
673, 448, 578, Wed Jun 28 12:35:18 2023
839, 576, 765, Wed Jun 28 12:36:18 2023
906, 608, 820, Wed Jun 28 12:37:18 2023
959, 658, 874, Wed Jun 28 12:38:18 2023
1045, 732, 1001, Wed Jun 28 12:39:18 2023
1191, 846, 1081, Wed Jun 28 12:40:18 2023
1259, 882, 1175, Wed Jun 28 12:41:18 2023
1309, 892, 1215, Wed Jun 28 12:42:18 2023
1459, 991, 1297, Wed Jun 28 12:43:18 2023
1497, 1031, 1345, Wed Jun 28 12:44:18 2023
1517, 1041, 1405, Wed Jun 28 12:45:18 2023
1546, 1063, 1420, Wed Jun 28 12:46:18 2023
1547, 1077, 1437, Wed Jun 28 12:47:18 2023
1488, 1042, 1384, Wed Jun 28 12:48:18 2023
1524, 1058, 1393, Wed Jun 28 12:49:18 2023
1519, 1009, 1385, Wed Jun 28 12:50:18 2023
1524, 1058, 1430, Wed Jun 28 12:51:18 2023
1486, 1026, 1369, Wed Jun 28 12:52:18 2023
1573, 1076, 1433, Wed Jun 28 12:53:18 2023
1594, 1105, 1449, Wed Jun 28 12:54:18 2023
1533, 1090, 1431, Wed Jun 28 12:55:18 2023
1536, 1057, 1416, Wed Jun 28 12:56:18 2023
1525, 1088, 1432, Wed Jun 28 12:57:18 2023
1573, 1093, 1429, Wed Jun 28 12:58:18 2023
1513, 1054, 1402, Wed Jun 28 12:59:18 2023
1525, 1037, 1417, Wed Jun 28 13:00:18 2023
1578, 1106, 1486, Wed Jun 28 13:01:18 2023
1567, 1105, 1522, Wed Jun 28 13:02:18 2023
1527, 1058, 1423, Wed Jun 28 13:03:18 2023
1532, 1066, 1443, Wed Jun 28 13:04:18 2023
1572, 1088, 1406, Wed Jun 28 13:05:18 2023
1592, 1117, 1494, Wed Jun 28 13:06:18 2023
1575, 1110, 1497, Wed Jun 28 13:07:18 2023
1583, 1112, 1494, Wed Jun 28 13:08:18 2023
1510, 1033, 1410, Wed Jun 28 13:09:18 2023
1630, 1108, 1478, Wed Jun 28 13:10:18 2023
1505, 1067, 1435, Wed Jun 28 13:11:18 2023
1596, 1043, 1429, Wed Jun 28 13:12:18 2023
1564, 1115, 1475, Wed Jun 28 13:13:18 2023
1587, 1092, 1446, Wed Jun 28 13:14:18 2023
1618, 1139, 1501, Wed Jun 28 13:15:18 2023
1581, 1088, 1430, Wed Jun 28 13:16:18 2023
1609, 1109, 1470, Wed Jun 28 13:17:18 2023
1546, 1060, 1427, Wed Jun 28 13:18:18 2023
1592, 1131, 1491, Wed Jun 28 13:19:18 2023
1603, 1126, 1525, Wed Jun 28 13:20:18 2023
1496, 1058, 1402, Wed Jun 28 13:21:18 2023
1604, 1123, 1515, Wed Jun 28 13:22:18 2023
1660, 1123, 1471, Wed Jun 28 13:23:18 2023
1619, 1141, 1512, Wed Jun 28 13:24:18 2023
