Chan_0_1,Chan_0_2,Chan_1_2,timestamp
1824, 1104, 1821, Fri Nov 17 20:05:44 2023
1789, 1068, 1798, Fri Nov 17 20:06:44 2023
1782, 1077, 1824, Fri Nov 17 20:07:44 2023
1749, 1060, 1796, Fri Nov 17 20:08:44 2023
1797, 1084, 1812, Fri Nov 17 20:09:44 2023
1779, 1109, 1843, Fri Nov 17 20:10:44 2023
1800, 1096, 1822, Fri Nov 17 20:11:44 2023
1743, 1033, 1794, Fri Nov 17 20:12:44 2023
1736, 1075, 1801, Fri Nov 17 20:13:44 2023
1760, 1099, 1843, Fri Nov 17 20:14:44 2023
1749, 1072, 1808, Fri Nov 17 20:15:44 2023
1743, 1064, 1779, Fri Nov 17 20:16:44 2023
1713, 1045, 1761, Fri Nov 17 20:17:44 2023
1826, 1101, 1842, Fri Nov 17 20:18:44 2023
1813, 1066, 1780, Fri Nov 17 20:19:44 2023
1781, 1061, 1778, Fri Nov 17 20:20:44 2023
1762, 1077, 1770, Fri Nov 17 20:21:44 2023
1795, 1063, 1789, Fri Nov 17 20:22:44 2023
1802, 1105, 1839, Fri Nov 17 20:23:44 2023
1789, 1071, 1776, Fri Nov 17 20:24:44 2023
1756, 1036, 1789, Fri Nov 17 20:25:44 2023
1720, 1046, 1747, Fri Nov 17 20:26:44 2023
1702, 1041, 1738, Fri Nov 17 20:27:44 2023
1691, 999, 1675, Fri Nov 17 20:28:44 2023
1742, 1045, 1808, Fri Nov 17 20:29:44 2023
1756, 999, 1713, Fri Nov 17 20:30:44 2023
1703, 1006, 1728, Fri Nov 17 20:31:44 2023
1649, 1050, 1754, Fri Nov 17 20:32:44 2023
1804, 1088, 1746, Fri Nov 17 20:33:44 2023
1721, 1032, 1780, Fri Nov 17 20:34:44 2023
1738, 1055, 1745, Fri Nov 17 20:35:44 2023
1764, 1082, 1743, Fri Nov 17 20:36:44 2023
1720, 989, 1736, Fri Nov 17 20:37:44 2023
1677, 1030, 1736, Fri Nov 17 20:38:44 2023
1738, 1079, 1795, Fri Nov 17 20:39:44 2023
1708, 1008, 1741, Fri Nov 17 20:40:44 2023
1719, 1019, 1676, Fri Nov 17 20:41:44 2023
1609, 1019, 1676, Fri Nov 17 20:42:44 2023
1731, 1041, 1710, Fri Nov 17 20:43:44 2023
1671, 995, 1698, Fri Nov 17 20:44:44 2023
1630, 955, 1647, Fri Nov 17 20:45:44 2023
1683, 1028, 1717, Fri Nov 17 20:46:44 2023
1618, 949, 1630, Fri Nov 17 20:47:44 2023
1737, 1087, 1790, Fri Nov 17 20:48:44 2023
1691, 1030, 1738, Fri Nov 17 20:49:44 2023
1640, 996, 1712, Fri Nov 17 20:50:44 2023
1738, 1047, 1740, Fri Nov 17 20:51:44 2023
1708, 1054, 1759, Fri Nov 17 20:52:44 2023
1738, 1053, 1722, Fri Nov 17 20:53:44 2023
1676, 987, 1682, Fri Nov 17 20:54:44 2023
1690, 1005, 1693, Fri Nov 17 20:55:44 2023
1626, 967, 1692, Fri Nov 17 20:56:44 2023
1780, 1077, 1720, Fri Nov 17 20:57:44 2023
1717, 1035, 1744, Fri Nov 17 20:58:44 2023
1676, 1024, 1707, Fri Nov 17 20:59:44 2023
1736, 1073, 1766, Fri Nov 17 21:00:44 2023
1749, 1081, 1765, Fri Nov 17 21:01:44 2023
1814, 1105, 1851, Fri Nov 17 21:02:44 2023
1875, 1155, 1912, Fri Nov 17 21:03:44 2023
1845, 1111, 1930, Fri Nov 17 21:04:44 2023
1864, 1111, 1932, Fri Nov 17 21:05:44 2023
1802, 1103, 1862, Fri Nov 17 21:06:44 2023
1798, 1098, 1856, Fri Nov 17 21:07:44 2023
1797, 1096, 1867, Fri Nov 17 21:08:44 2023
1755, 1057, 1796, Fri Nov 17 21:09:44 2023
1803, 1043, 1780, Fri Nov 17 21:10:44 2023
1772, 1072, 1824, Fri Nov 17 21:11:44 2023
1795, 1091, 1825, Fri Nov 17 21:12:44 2023
1817, 1112, 1838, Fri Nov 17 21:13:44 2023
1783, 1091, 1838, Fri Nov 17 21:14:44 2023
1803, 1101, 1862, Fri Nov 17 21:15:44 2023
1877, 1137, 1883, Fri Nov 17 21:16:44 2023
1852, 1120, 1911, Fri Nov 17 21:17:44 2023
1807, 1076, 1801, Fri Nov 17 21:18:44 2023
1717, 1038, 1796, Fri Nov 17 21:19:44 2023
1846, 1102, 1863, Fri Nov 17 21:20:44 2023
1772, 1073, 1846, Fri Nov 17 21:21:44 2023
1809, 1076, 1781, Fri Nov 17 21:22:44 2023
1744, 1011, 1755, Fri Nov 17 21:23:44 2023
1839, 1114, 1843, Fri Nov 17 21:24:44 2023
1839, 1121, 1909, Fri Nov 17 21:25:44 2023
1689, 1019, 1760, Fri Nov 17 21:26:44 2023
1600, 937, 1667, Fri Nov 17 21:27:44 2023
1796, 1089, 1821, Fri Nov 17 21:28:44 2023
1783, 1117, 1838, Fri Nov 17 21:29:44 2023
1779, 1060, 1799, Fri Nov 17 21:30:44 2023
1731, 1048, 1787, Fri Nov 17 21:31:44 2023
1836, 1130, 1820, Fri Nov 17 21:32:44 2023
1706, 1003, 1761, Fri Nov 17 21:33:44 2023
1683, 1017, 1761, Fri Nov 17 21:34:44 2023
1774, 1060, 1799, Fri Nov 17 21:35:44 2023
1752, 1045, 1798, Fri Nov 17 21:36:44 2023
1827, 1105, 1842, Fri Nov 17 21:37:44 2023
1714, 1066, 1813, Fri Nov 17 21:38:44 2023
1825, 1061, 1790, Fri Nov 17 21:39:44 2023
1791, 1087, 1819, Fri Nov 17 21:40:44 2023
1734, 1070, 1780, Fri Nov 17 21:41:44 2023
1768, 1057, 1836, Fri Nov 17 21:42:44 2023
1817, 1149, 1847, Fri Nov 17 21:43:44 2023
1737, 1063, 1721, Fri Nov 17 21:44:44 2023
1753, 1069, 1747, Fri Nov 17 21:45:44 2023
1767, 1068, 1812, Fri Nov 17 21:46:44 2023
1777, 1107, 1863, Fri Nov 17 21:47:44 2023
1742, 1058, 1800, Fri Nov 17 21:48:44 2023
1712, 1044, 1815, Fri Nov 17 21:49:44 2023
1664, 1053, 1715, Fri Nov 17 21:50:44 2023
1723, 1086, 1839, Fri Nov 17 21:51:44 2023
1749, 1070, 1788, Fri Nov 17 21:52:44 2023
1705, 1024, 1716, Fri Nov 17 21:53:44 2023
1776, 1020, 1745, Fri Nov 17 21:54:44 2023
1712, 1053, 1776, Fri Nov 17 21:55:44 2023
1779, 1084, 1795, Fri Nov 17 21:56:44 2023
1699, 968, 1688, Fri Nov 17 21:57:44 2023
1545, 869, 1564, Fri Nov 17 21:58:44 2023
1764, 1102, 1830, Fri Nov 17 21:59:44 2023
1728, 1043, 1742, Fri Nov 17 22:00:44 2023
1788, 1090, 1783, Fri Nov 17 22:01:44 2023
1758, 1113, 1795, Fri Nov 17 22:02:44 2023
1750, 1064, 1738, Fri Nov 17 22:03:44 2023
1683, 1034, 1755, Fri Nov 17 22:04:44 2023
1742, 1061, 1748, Fri Nov 17 22:05:44 2023
1724, 1031, 1778, Fri Nov 17 22:06:44 2023
1694, 1056, 1758, Fri Nov 17 22:07:44 2023
1751, 1057, 1788, Fri Nov 17 22:08:44 2023
1738, 1024, 1760, Fri Nov 17 22:09:44 2023
1801, 1086, 1802, Fri Nov 17 22:10:44 2023
1712, 1043, 1791, Fri Nov 17 22:11:44 2023
1749, 1061, 1812, Fri Nov 17 22:12:44 2023
1700, 1037, 1794, Fri Nov 17 22:13:44 2023
1765, 1062, 1781, Fri Nov 17 22:14:44 2023
1709, 1000, 1753, Fri Nov 17 22:15:44 2023
1771, 1059, 1790, Fri Nov 17 22:16:44 2023
1793, 1107, 1808, Fri Nov 17 22:17:44 2023
1833, 1142, 1886, Fri Nov 17 22:18:44 2023
1750, 1046, 1776, Fri Nov 17 22:19:44 2023
1787, 1042, 1705, Fri Nov 17 22:20:44 2023
1780, 1064, 1807, Fri Nov 17 22:21:44 2023
1711, 1013, 1722, Fri Nov 17 22:22:44 2023
1833, 1136, 1857, Fri Nov 17 22:23:44 2023
1804, 1125, 1870, Fri Nov 17 22:24:44 2023
1724, 1088, 1802, Fri Nov 17 22:25:44 2023
1751, 1036, 1754, Fri Nov 17 22:26:44 2023
1826, 1100, 1820, Fri Nov 17 22:27:44 2023
1763, 1047, 1763, Fri Nov 17 22:28:44 2023
1806, 1103, 1848, Fri Nov 17 22:29:44 2023
1785, 1029, 1751, Fri Nov 17 22:30:44 2023
1703, 1035, 1705, Fri Nov 17 22:31:44 2023
1782, 1053, 1755, Fri Nov 17 22:32:44 2023
1753, 1033, 1712, Fri Nov 17 22:33:44 2023
1752, 1063, 1753, Fri Nov 17 22:34:44 2023
1635, 965, 1647, Fri Nov 17 22:35:44 2023
1763, 1068, 1773, Fri Nov 17 22:36:44 2023
1728, 1040, 1753, Fri Nov 17 22:37:44 2023
1705, 1028, 1664, Fri Nov 17 22:38:44 2023
1697, 1032, 1750, Fri Nov 17 22:39:44 2023
1765, 1105, 1815, Fri Nov 17 22:40:44 2023
1747, 1042, 1749, Fri Nov 17 22:41:44 2023
1690, 1047, 1803, Fri Nov 17 22:42:44 2023
1718, 1067, 1786, Fri Nov 17 22:43:44 2023
1746, 1054, 1762, Fri Nov 17 22:44:44 2023
1739, 1023, 1674, Fri Nov 17 22:45:44 2023
1744, 1040, 1758, Fri Nov 17 22:46:44 2023
1755, 1061, 1770, Fri Nov 17 22:47:44 2023
1674, 1016, 1719, Fri Nov 17 22:48:44 2023
1647, 991, 1711, Fri Nov 17 22:49:44 2023
1650, 990, 1704, Fri Nov 17 22:50:44 2023
1797, 1116, 1797, Fri Nov 17 22:51:44 2023
1734, 1031, 1736, Fri Nov 17 22:52:44 2023
1675, 1027, 1785, Fri Nov 17 22:53:44 2023
1688, 997, 1713, Fri Nov 17 22:54:44 2023
1683, 1027, 1749, Fri Nov 17 22:55:44 2023
1706, 1015, 1707, Fri Nov 17 22:56:44 2023
1709, 1019, 1739, Fri Nov 17 22:57:44 2023
1772, 1052, 1716, Fri Nov 17 22:58:44 2023
1712, 1057, 1755, Fri Nov 17 22:59:44 2023
1664, 980, 1695, Fri Nov 17 23:00:44 2023
1636, 967, 1685, Fri Nov 17 23:01:44 2023
1692, 1031, 1729, Fri Nov 17 23:02:44 2023
1712, 1055, 1731, Fri Nov 17 23:03:44 2023
1731, 1019, 1741, Fri Nov 17 23:04:44 2023
